ano,mes,vl_inicial,vl_empenhado,vl_atualizado,vl_liquidado,vl_pago
2014,1,8307204125.00,1895801035.09,8306778708.77,426550071.13,356613832.65
2014,2,0.00,528253784.21,5454010.46,568976169.56,500671920.05
2014,3,0.00,507168356.07,79393074.27,553537452.78,592659988.67
2014,4,0.00,582315147.03,87057396.13,645948136.83,649774877.04
2014,5,0.00,551880541.28,83466329.06,648257298.44,623386763.90
2014,6,0.00,464090156.29,18968539.90,600697620.02,614024451.14
2014,7,0.00,525391122.07,70201775.88,698058571.54,592552913.61
2014,8,0.00,534179734.37,92700076.91,632258245.56,690613229.31
2014,9,0.00,662641264.93,18510563.39,702037139.89,670674985.47
2014,10,0.00,537710796.78,5267636.79,718729985.22,754198217.10
2014,11,0.00,606140642.57,226901937.73,645120809.77,680113353.88
2014,12,0.00,759114859.84,249670546.10,1241073526.34,1067300744.57
